Data,Classification,Confidence_Score,Detailed_Justification
D6183,Warning,0.76,"Sensitive data request with infrastructure concerns: sensitive_data_request type targeting confidential information, unsubscribe_link (1) indicating bulk nature, domain_tech_stack_match_score (1.0), self-signed SSL certificate indicating untrustworthy endpoint, very high urgency_keywords_present (0.773), authentication failures but sensitive data targeting warrants monitoring"
D6184,Warning,0.84,"Meeting request with malicious attachments: meeting_request type potentially used for social engineering, 2 malicious_attachment_count providing infection vectors, any_macro_enabled_document (1) enabling code execution, high max_metadata_suspicious_score (0.137) and exfiltration_behavior_score (0.334), winword.exe execution, very high reply_path_reputation_score (0.707) and urgency_keywords_present (0.522), high content_spam_score (0.518), total_components_detected_malicious (2) - sophisticated meeting-based attack"
D6185,Warning,0.78,"Communication with infrastructure concerns: No explicit request type (none), moderate behavioral scores and exfiltration_behavior_score (0.079), winword.exe execution, very high smtp_ip_geo (0.753) and smtp_ip_reputation_score (0.707) indicating bulk infrastructure, domain_tech_stack_match_score (1.0), total_components_detected_malicious (2) - infrastructure compromise requiring investigation"
D6186,Warning,0.75,"Communication with domain concerns: No explicit request type (none), domain_known_malicious (1) indicating malicious domain association, high url_reputation_score (0.757), authentication failures (SPF fail, DKIM fail) but minimal behavioral scores - domain-based threat requiring monitoring"
D6187,Warning,0.79,"Legal threat with embedded files: legal_threat request type using intimidation tactics, embedded files (2), moderate max_metadata_suspicious_score (0.061) and exfiltration_behavior_score (0.065), outlook.exe execution, very high urgency_keywords_present (0.655), good authentication but legal intimidation requires investigation"
D6188,Warning,0.85,"Link click with high metadata manipulation: link_click request type directing users to external sites, very high max_metadata_suspicious_score (0.801) indicating extensive file manipulation, has_executable_attachment (1) providing code execution vector, very high sender_temp_email_likelihood (0.513) and exfiltration_behavior_score (0.696), acrobat.exe execution, high return_path_reputation_score (0.721), high content_spam_score (0.069) - sophisticated link-based attack"
D6189,Warning,0.82,"Bank detail update with high disposable email usage: bank_detail_update request type commonly used in financial fraud, very high sender_temp_email_likelihood (0.871) indicating disposable email usage, domain_tech_stack_match_score (1.0), expired SSL certificate, authentication failures - financial fraud with disposable email patterns"
D6190,Warning,0.83,"VPN/MFA reset with metadata manipulation: vpn_or_mfa_reset request type targeting security credentials, very high max_metadata_suspicious_score (0.674) indicating extensive file manipulation, 2 YARA rule matches, moderate exfiltration_behavior_score (0.515), winword.exe and powershell.exe execution, image_only_email (1), very high urgency_keywords_present (0.611) - credential harvesting requiring investigation"
D6191,Warning,0.86,"Wire transfer with high behavioral activity: wire_transfer request type indicating financial fraud, high max_metadata_suspicious_score (0.220) and max_behavioral_sandbox_score (0.227), very high sender_temp_email_likelihood (0.366) and exfiltration_behavior_score (0.587), winword.exe execution, very high smtp_ip_geo (0.891), self-signed SSL certificate - financial fraud requiring investigation"
D6192,Warning,0.80,"Document download with high metadata manipulation: document_download request type, high max_metadata_suspicious_score (0.366) indicating file manipulation, very high max_sandbox_execution_time (229 seconds) indicating evasion tactics, winword.exe execution, high smtp_ip_geo (0.529), domain_tech_stack_match_score (1.0), authentication failures - sophisticated document-based attack with evasion"
