Data,Classification,Confidence_Score,Detailed_Justification
D6033,Malicious,0.89,"Legal threat attack with sophisticated evasion: legal_threat request type using intimidation tactics, 6 malicious_attachment_count providing multiple infection vectors, moderate max_behavioral_sandbox_score (0.137) and high exfiltration_behavior_score (0.582) showing data theft capability, outlook.exe execution, high sender_temp_email_likelihood (0.365) indicating disposable email usage, domain_tech_stack_match_score (1.0) for perfect spoofing, revoked SSL certificate indicating compromised infrastructure"
D6034,Warning,0.76,"Link click with suspicious patterns: link_click request type directing users to external sites, 5 YARA rule matches indicating known suspicious patterns, moderate max_behavioral_sandbox_score (0.059) and very high exfiltration_behavior_score (0.733) showing data access potential, acrobat.exe execution, embedded file (1), high urgency_keywords_present (0.869), domain_tech_stack_match_score (0.5), high site_visual_similarity_to_known_brand (0.307) - requires investigation"
D6035,Warning,0.78,"Bank detail update with spoofing indicators: bank_detail_update request type commonly used in financial fraud, domain_tech_stack_match_score (1.0) suggesting perfect website spoofing, url_redirect_chain_length (1) indicating redirection, high return_path_reputation_score (0.468) and smtp infrastructure concerns, self-signed SSL certificate, high site_visual_similarity_to_known_brand (0.370) - financial fraud requiring investigation"
D6036,Spam,0.84,"VPN/MFA reset with high spam indicators: vpn_or_mfa_reset request type targeting security credentials, 6 YARA rule matches, any_exploit_pattern_detected (1), high content_spam_score (0.641) indicating bulk nature, unsubscribe_link (1) and url_shortener_detected (1), very high url_reputation_score (0.860), winword.exe and powershell.exe execution - bulk credential harvesting campaign"
D6037,Malicious,0.91,"Wire transfer fraud with high threat indicators: wire_transfer request type indicating financial fraud, very high max_metadata_suspicious_score (0.783) and exfiltration_behavior_score (0.714) showing extensive manipulation and data theft, winword.exe execution, 3 total_links_detected for multiple attack vectors, high content_spam_score (0.097), url_rendering_behavior_score (0.365) indicating malicious web behavior - confirmed financial fraud"
D6038,Warning,0.82,"Document download with suspicious characteristics: document_download request type, very high sender_temp_email_likelihood (0.736) indicating disposable email usage, high max_metadata_suspicious_score (0.314) and exfiltration_behavior_score (0.597), winword.exe execution, reply_path_known_malicious (1) confirming malicious infrastructure, domain_tech_stack_match_score (1.0), urgency_keywords_present (0.058) - sophisticated delivery requiring investigation"
D6039,No Action,0.83,"Low-risk legitimate communication: No explicit request type (none), minimal threat indicators across 68 signals, good SPF pass authentication, moderate sender_temp_email_likelihood (0.037) within acceptable range, moderate reply_path_reputation_score (0.347) and smtp infrastructure scores, domain_tech_stack_match_score (0.5), very low urgency_keywords_present (0.404) - standard business communication"
D6040,Warning,0.77,"Sensitive data request with infrastructure concerns: sensitive_data_request type targeting confidential information, domain_tech_stack_match_score (1.0) suggesting perfect website spoofing, urgency_keywords_present (0.316), self-signed SSL certificate indicating untrustworthy endpoint, moderate smtp infrastructure risk scores, good sender domain reputation (0.047) but spoofing indicators warrant investigation"
D6041,Warning,0.75,"Meeting request with moderate behavioral indicators: meeting_request type potentially used for social engineering, moderate max_behavioral_sandbox_score (8.8e-04) and exfiltration_behavior_score (0.147), winword.exe execution, embedded files (2), domain_tech_stack_match_score (0.5), urgency_keywords_present (0.385), good authentication but meeting-based social engineering warrants monitoring"
D6042,Warning,0.79,"Communication with high infrastructure risk: No explicit request type (none), 2 YARA rule matches, moderate max_behavioral_sandbox_score (0.072) and exfiltration_behavior_score (0.319), winword.exe execution, very high smtp_ip_geo (0.930) and smtp_ip_reputation_score (0.482) indicating bulk infrastructure, dns_morphing_detected (1), high urgency_keywords_present (0.613), high site_visual_similarity_to_known_brand (0.824)"
