Data,Classification,Confidence_Score,Detailed_Justification
D5933,Warning,0.78,"Wire transfer request with moderate risk indicators: wire_transfer request type commonly used in BEC attacks, high exfiltration_behavior_score (0.696) indicating data access potential, 2 YARA rule matches suggesting suspicious patterns, winword.exe execution showing document-based delivery, very low content_spam_score (4.98e-10) suggests targeted attack, DMARC temperror creating authentication weakness, moderate return_path_reputation_score (0.434) warranting caution"
D5934,Malicious,0.91,"Document download attack with strong threat indicators: document_download request type providing malicious payload delivery, very high exfiltration_behavior_score (0.814) indicating significant data theft capability, 6 YARA rule matches (highest pattern recognition), high max_amsi_suspicion_score (0.563) indicating script-based threats, winword.exe execution confirming document-based attack, domain_tech_stack_match_score (1.0) suggesting perfect website spoofing, DKIM temperror and DMARC none providing authentication vulnerabilities"
D5935,No Action,0.83,"Low-risk legitimate communication: No explicit request type (none), minimal threat indicators across all categories (zero behavioral sandbox score, no malicious attachments, no YARA matches), good SPF pass authentication, domain_tech_stack_match_score (1.0) noted but other indicators suggest legitimate business communication, DMARC fail requires attention but overall low threat profile"
D5936,Malicious,0.87,"High-risk sensitive data request: sensitive_data_request type targeting confidential information, very high sender_temp_email_likelihood (0.712) indicating disposable email usage common in attacks, very high smtp_ip_geo (0.656) and smtp_ip_asn (0.858) risk scores suggesting malicious infrastructure, domain_tech_stack_match_score (1.0) indicating website spoofing, self-signed SSL certificate showing untrustworthy endpoint"
D5937,Malicious,0.93,"Multi-vector meeting request attack: meeting_request type used for social engineering, 5 malicious_attachment_count providing multiple infection vectors, high max_behavioral_sandbox_score (0.562) and exfiltration_behavior_score (0.394) showing confirmed malicious runtime behavior, very high reply_path_reputation_score (0.834) suggesting compromised email infrastructure, SPF/DKIM failures indicating spoofing, total_components_detected_malicious (1) confirming threat"
D5938,Malicious,0.95,"Known malicious sender with advanced threats: sender_known_malicious flag (1) confirming threat actor identification, macro_enabled_document (1) providing code execution capability, very high max_metadata_suspicious_score (0.630) indicating sophisticated file manipulation, high max_amsi_suspicion_score (0.519) and exfiltration_behavior_score (0.577) showing data theft intent, URL shortener detected (1) for link obfuscation, multiple authentication failures"
D5939,No Action,0.85,"Low-risk legitimate communication: No explicit request type (none), all threat indicators at zero or minimal levels (no behavioral sandbox activity, no malicious attachments, no YARA matches), image_only_email (1) noted but combined with very low threat scores suggests legitimate marketing, moderate smtp infrastructure scores within acceptable range, SPF softfail and DKIM fail require attention but overall legitimate profile"
D5940,Malicious,0.89,"PDF-based link attack with data theft capability: link_click request type directing to malicious sites, any_file_hash_malicious (1) confirming known threat, high sender_temp_email_likelihood (0.334) suggesting disposable email usage, acrobat.exe execution showing PDF-based attack vector, 4 embedded files providing multiple attack vectors, moderate exfiltration_behavior_score (0.168) indicating data access intent"
D5941,Warning,0.76,"Bank detail update with high-risk profile: bank_detail_update request type commonly used in financial fraud, very high sender_temp_email_likelihood (0.784) indicating disposable email usage, moderate sender_domain_reputation (0.350) suggesting untrusted source, DMARC none and SPF/DKIM policy failures indicating potential spoofing, while no direct malicious indicators present, financial request with authentication failures warrants caution"
D5942,Malicious,0.88,"VPN/MFA reset attack with strong indicators: vpn_or_mfa_reset request type targeting security credentials, very high exfiltration_behavior_score (0.873) indicating high data theft potential, html_text_ratio (1.0) suggesting content hiding techniques, winword.exe and powershell.exe execution showing multi-stage attack, URL certificate mismatch indicating phishing infrastructure, high content_spam_score (0.143)"
