Data ID,Classification,Confidence Score,Detailed Justification
D6683,Warning,0.72,"Bank detail update request with authentication issues (DKIM policy, DMARC none) and self-signed certificate. Low risk scores but suspicious request type requires monitoring."
D6684,Malicious,0.83,"VPN/MFA reset request with high temp email likelihood (0.0004), authentication failures (SPF/DKIM failed), and final URL known malicious (1). Expired certificate increases risk profile."
D6685,Warning,0.74,"Wire transfer request with very high temp email likelihood (0.84) but exfiltration score (0.55) below malicious threshold. Authentication failures (SPF failed, DMARC failed) require monitoring."
D6686,Warning,0.76,"Document download with known malicious reply path but exfiltration score (0.41) below threshold. High suspicious metadata (0.63) and SSL mismatch require monitoring."
D6687,Warning,0.69,"Known malicious return path (1) but minimal other risk indicators. Authentication mixed (SPF passed, DMARC permerror). Requires monitoring despite low behavioral scores."
D6688,Warning,0.71,"Sensitive data request with authentication concerns (SPF softfail, DKIM policy) and high URL rendering behavior (0.51). Low risk scores across other categories."
D6689,Warning,0.68,"Meeting request with high sandbox behavioral score (0.39) and authentication passed. High domain reputation (0.39) suggests legitimate but requires monitoring due to behavioral indicators."
D6690,Warning,0.73,"ActiveX objects detected (1) with image-only email format. High temp email likelihood (0.48) but good authentication (SPF passed) creates mixed risk profile."
D6691,Warning,0.65,"High spam content score (0.55) but authentication mixed (SPF passed, DMARC failed). High return path reputation suggests monitoring rather than blocking."
D6692,Warning,0.71,"Legal threat request with IOC hit (1) and high exfiltration score (0.64). Authentication failures (SPF failed) support suspicious classification."
D6693,Warning,0.74,"Link click request with multiple YARA hits (8) and authentication failures (SPF failed, DKIM policy). High urgency keywords (0.48) typical of social engineering."
D6694,Spam,0.76,"Bank detail update with very high spam content score (0.77) and high URL reputation (0.83). Good authentication (SPF passed) suggests bulk/spam rather than targeted attack."
D6695,Malicious,0.84,"VPN/MFA reset with very high exfiltration score (0.75) and high AMSI suspicion (0.42). Authentication failures (DKIM failed, DMARC permerror) and SSL mismatch support classification."
D6696,Warning,0.75,"Wire transfer request with sandbox score (0.75) and exfiltration score (0.34) below malicious thresholds. Authentication failures (SPF/DKIM failed) require monitoring."
