Data ,sender_known_malicios,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_Count,has_executable_attachment,unscannable_attachment_present,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_Score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_Count,dna_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing-keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,total_components_detected_malicious,unique_parent_process_names(categorical)
D6833,0,0.125446896639319,0,0.0078265208346108,0,0,0,0.0486310151747423,0,0,0,0,0,0.0016034811325055,0.0043366734754601,0,0,0,0,0.5198887651967797,0,1,4,2.1374442376335665e-29,"[""winword.exe""]",1,0,2.2748878432888693e-13,0,0,0.3568583495526767,0,0.0534363479492438,0.9659437282194056,0.0116219584545437,0,0,0,0.5,0,7.40446488755163e-16,0.6009394,none,0.0021572071440025,1,0,0,0,0.0,0,pass,pass,none,0,TLS 1.0,0,0,0,0,0,1.5025050024566994e-13,expired,1.0397329024339804e-05,4.9919092996173006e-05,0,1,0,"[""""]"
D6834,0,0.0963265597793528,0,0.0005007502579799,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,3.634107530671854e-18,0,0,0.1888018634172809,0,0.0169119739628931,0.25465131466285,0.00307416855335,0,0,0,1.0,0,0.0114964970156649,0.9349343,none,0.1978980344594533,0,0,0,0,0.0,0,pass,none,temperror,1,TLS 1.3,2,0,0,0,0,6.33031790466897e-06,valid,1.831756681308993e-13,1.559374231149908e-07,0,1,0,"[""""]"
D6835,1,0.1198148877404989,0,3.0504658800267334e-06,0,0,0,0.206941147052648,0,0,0,0,0,1.093839030189207e-09,0.0557834610841726,0,0,1,0,0.592502153402158,0,0,7,62.4286658850763,"[""outlook.exe""]",0,0,0.1732249645740326,0,0,1.0129379165764252e-11,0,3.1446290094990943e-06,0.0002443314259387,0.0575584048746404,0,0,0,1.0,0,2.252108077274361e-07,0.8553898,legal_threat,0.0282164673734026,0,0,1,0,0.0,0,pass,none,pass,1,TLS 1.1,0,0,0,0,0,0.0851674154682381,valid,1.6389508279190201e-07,7.3688900791457295e-06,0,1,0,"[""""]"
D6836,0,0.0001201087187022,0,6.9064381100698576e-12,0,0,0,0.2085061430908487,0,0,0,2,0,0.1664962717456631,2.6960105725486857e-05,0,0,0,0,0.5175780072262225,0,0,5,3.1286056519434384e-16,"[""acrobat.exe""]",1,0,0.0061214550934084,0,0,0.0035713217157894,0,0.2701957721567641,6.9201015137121335e-06,0.5137122310315629,0,0,0,1.0,0,1.2909856577837916e-17,0.3852103,link_click,0.3998330105658312,0,0,0,0,0.0,0,pass,fail,pass,1,TLS 1.3,1,0,0,0,0,0.0443506805384055,valid,3.153429459964226e-08,1.1912311659171336e-08,0,1,0,"[""""]"
D6837,0,2.2976903470389647e-10,0,0.5878362892653455,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0451766592613021,1,0,0.6544373174074297,0,0.0847558488938372,0.1594265991451329,4.536947518911351e-09,0,0,0,1.0,0,2.9707305165883725e-18,0.3760932,bank_detail_update,1.492382829274903e-07,0,0,0,0,0.0,0,pass,temperror,pass,1,TLS 1.3,0,0,0,0,0,4.247224840527028e-06,valid,0.0211567751736469,0.0009205752245837,0,1,0,"[""""]"
D6838,0,0.072980929120255,0,0.2819979945894789,0,0,0,0.0712720441908012,0,0,0,0,0,0.1124002236853939,0.2616640912095489,0,0,0,0,0.1461752710229592,0,0,7,2.3535542370813843e-24,"[""winword.exe"", ""powershell.exe""]",0,0,0.5697792528028546,0,0,0.0242206959068374,0,0.019286608754611,0.7921951021255113,0.0091918732046323,0,0,0,0.5,0,0.0618174360057132,0.0767243,vpn_or_mfa_reset,0.0001523521013947,0,0,0,0,0.0,0,pass,fail,fail,1,TLS 1.3,0,0,0,0,0,0.1992806509807323,self signed,2.2338299944692915e-05,0.1240900289199706,0,1,0,"[""""]"
D6839,0,1.4155681938249644e-08,0,1.5932320405728542e-05,0,0,0,0.0613392573513526,0,0,0,0,0,0.9497108268003718,0.5474518668380779,0,0,0,0,0.6482570572278125,0,0,5,0.1461218422508813,"[""winword.exe""]",0,0,1.626769957982079e-16,0,0,1.471147208086212e-13,0,0.0289553561472697,0.0015836832919214,0.0024731475423228,0,0,0,1.0,0,0.0062755389327277,0.8486347,wire_transfer,0.0014747673544179,0,0,1,0,0.0,0,pass,fail,pass,1,TLS 1.3,0,0,0,0,0,0.072171662896332,valid,1.5808100489772407e-09,0.0694563584839272,0,1,0,"[""""]"
D6840,0,0.1473327733157802,0,6.462247603171421e-06,0,0,0,0.0151533419094503,0,0,0,0,0,0.0045270376339128,0.0719486064771979,0,0,0,0,0.3557833311850027,0,0,6,0.000313182604975,"[""winword.exe""]",0,0,2.978537466853172e-05,0,0,0.0397423661211347,0,1.9483274702201745e-07,0.0001153927835619,0.2852754151494248,0,0,0,1.0,0,1.3116922252386778e-10,0.2242273,document_download,7.190506237421412e-05,0,0,0,0,0.0,0,fail,pass,temperror,1,TLS 1.2,0,0,0,0,0,0.1916616656233633,expired,6.674839461936388e-09,0.0216458045523543,0,1,0,"[""""]"
D6841,1,0.0002806326238682,0,0.7482217921221809,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0116782466691369,0,0,2.577201380734407e-09,0,0.003043176708321,0.0033190204670149,0.0563301128446929,0,0,0,1.0,0,0.0234112484022629,0.6400205,none,0.0129545304562125,0,0,0,0,0.0,0,pass,none,none,1,TLS 1.3,0,0,0,0,0,8.445389467364061e-08,valid,0.1724077169905631,0.8792718251348396,0,1,0,"[""""]"
D6842,0,1.9068209313936098e-17,0,0.0045876972507985,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0014805860317225,0,0,6.749389142374231e-20,0,0.5414350270331224,7.384131906922848e-07,0.6186100996264521,0,0,0,1.0,0,0.487454395962522,0.2328729,sensitive_data_request,1.2173420781969937e-05,0,0,0,0,0.0,0,fail,fail,none,1,TLS 1.3,1,0,0,0,0,0.0662018831181081,valid,5.391891516072039e-05,0.0026467980026707,0,1,0,"[""""]"
