Data ID,Classification,Confidence Score,Detailed Justification
D6383,Warning,0.80,Wire transfer request with YARA match and high exfiltration behavior score (0.865) combined with failed DKIM and moderate behavioral indicators suggest potential BEC requiring verification.
D6384,Malicious,0.95,Document download with packer detected AND exploit pattern detected combined with high sender temp email likelihood (0.730) and failed SPF indicates confirmed malware delivery through phishing.
D6385,Spam,0.75,High sender temp email likelihood (0.191) with high marketing score (0.584) and visual brand similarity (0.603) indicates marketing spam rather than targeted threat.
D6386,Warning,0.70,Sensitive data request with high sender reputation but failed SPF and moderate visual brand similarity suggests potentially compromised infrastructure requiring caution.
D6387,Warning,0.85,Meeting request with high metadata suspicious score (0.548) and behavioral sandbox score (0.546) combined with failed authentication but no confirmed malicious indicators.
D6388,Warning,0.80,Multiple YARA matches (8) with known malicious return path and moderate suspicious behaviors but self-signed SSL suggests investigation needed.
D6389,No Action,0.80,Low risk scores across all indicators with softfail SPF but valid authentication and no malicious content suggests legitimate communication.
D6390,Warning,0.80,Legal threat with high AMSI score (0.717) and behavioral issues combined with expired SSL and failed DKIM but no confirmed malicious indicators.
D6391,Warning,0.85,Link click request with unscannable attachment and network call on open with self-signed SSL and high exfiltration score (0.968) suggests potential threat requiring caution.
D6392,Malicious,0.90,Bank detail update with sender spoof detected and high spam score (0.760) combined with failed DKIM indicates financial fraud BEC attempt.
D6393,Warning,0.80,VPN/MFA reset with high metadata suspicious score (0.679) and behavioral issues with self-signed SSL and failed authentication but no confirmed malicious indicators.
D6394,Malicious,0.90,Wire transfer with known malicious reply path and network call on open combined with visual brand similarity (0.211) indicates financial fraud phishing.
D6395,Warning,0.85,Document download with DNS morphing detected and visual brand similarity (0.755) combined with self-signed SSL but no confirmed malicious files.
D6396,No Action,0.85,Low risk scores with valid authentication and high reply path reputation (0.591) indicates legitimate communication despite failed SPF.
D6397,Spam,0.80,Sensitive data request with high sender temp email likelihood (0.199) and moderate marketing indicators suggests data harvesting spam.
D6398,Warning,0.75,Meeting request with high behavioral sandbox score (0.583) and moderate suspicious behaviors but low visual similarity suggests verification needed.
D6399,Warning,0.80,High sender temp email likelihood (0.168) with SMTP IP marked malicious and moderate suspicious scores suggests compromised sender requiring caution.
D6400,Warning,0.80,High sender temp email likelihood (0.719) with SMTP IP marked malicious and self-signed SSL but valid SPF suggests potential threat requiring investigation.
