Data ID,Classification,Confidence Score,Detailed Justification
D4883,Malicious,0.88,High sender maliciousness (0.76) with wire transfer request and exploit pattern detected combined with maximum exfiltration behavior (0.79) and high behavioral sandbox score (0.20) indicate financial fraud malware
D4884,Warning,0.79,Moderate sender maliciousness (0.20) with invoice verification request and reply path known malicious but minimal technical threats suggest potential invoice fraud attempt
D4885,Malicious,0.91,Extremely high sender maliciousness (0.90) with 3 YARA matches and wire transfer request combined with high metadata suspicious score (0.34) and maximum exfiltration behavior (0.93) indicate confirmed financial malware
D4886,Malicious,0.85,Moderate sender maliciousness (0.14) with invoice payment request and maximum exfiltration behavior (0.88) combined with expired SSL certificate indicate evasive invoice fraud malware
D4887,Malicious,0.87,High sender maliciousness (0.59) with urgent callback request and return path mismatch combined with extremely high AMSI score (0.89) and exfiltration behavior (0.52) indicate credential theft malware
D4888,Warning,0.81,High sender maliciousness (0.59) with VPN/MFA reset request and very high temporary email likelihood (0.42) combined with embedded files but minimal technical threats suggest credential harvesting attempt
D4889,Warning,0.77,Moderate sender maliciousness (0.34) with reply path known malicious and high script detection (0.56) but minimal technical threats suggest potential compromise
D4890,Malicious,0.86,Low sender maliciousness (0.04) with very high temporary email likelihood (0.66) and extremely high AMSI score (0.61) combined with maximum exfiltration behavior (0.83) indicate evasive malware
D4891,Malicious,0.88,High sender maliciousness (0.68) with 3 domains detected and maximum exfiltration behavior (0.94) combined with high metadata suspicious score (0.19) indicate data theft malware
D4892,Warning,0.80,Moderate sender maliciousness (0.38) with legal threat request and reply path known malicious combined with 3 domains detected but minimal technical threats suggest intimidation attempt
D4893,Malicious,0.85,Extremely high sender maliciousness (0.82) with document download request and extremely high URL reputation score (0.71) indicate confirmed malicious activity
D4894,Malicious,0.86,Extremely high sender maliciousness (0.85) with gift card request and high behavioral sandbox score (0.08) combined with exfiltration behavior (0.59) and very high site visual similarity (0.60) indicate sophisticated scam malware
D4895,Malicious,0.84,Moderate sender maliciousness (0.46) with reply path known malicious and high metadata suspicious score (0.17) combined with exfiltration behavior (0.64) and extremely high URL reputation score (0.95) indicate evasive malware
D4896,Malicious,0.88,Extremely high sender maliciousness (0.95) with urgent callback request indicate confirmed malicious social engineering attack
