Data,Classification,Confidence_Score,Detailed_Justification
D6133,Warning,0.76,"Link click with behavioral concerns: link_click request type directing users to external sites, high max_metadata_suspicious_score (0.389) indicating file manipulation, very high exfiltration_behavior_score (0.574) showing data access potential, acrobat.exe execution, domain_tech_stack_match_score (1.0), good authentication but behavioral indicators warrant investigation"
D6134,Warning,0.83,"Bank detail update with malicious infrastructure: bank_detail_update request type commonly used in financial fraud, smtp_ip_known_malicious (1) confirming bad sending infrastructure, very high smtp_ip_geo (0.774) risk score indicating bulk infrastructure, domain_tech_stack_match_score (0.5), very high urgency_keywords_present (0.890), good authentication but malicious SMTP infrastructure requires monitoring"
D6135,Spam,0.85,"VPN/MFA reset with high spam characteristics: vpn_or_mfa_reset request type targeting security credentials, very high max_metadata_suspicious_score (0.941) indicating extensive file manipulation, high content_spam_score (0.768) showing bulk nature, has_executable_attachment (1) providing code execution vector, winword.exe and powershell.exe execution, revoked SSL certificate, DMARC fail, link_rewritten_through_redirector (1) - sophisticated spam campaign"
D6136,Malicious,0.91,"Wire transfer fraud with confirmed malicious components: wire_transfer request type indicating financial fraud, very high max_behavioral_sandbox_score (0.710) and exfiltration_behavior_score (0.715) showing confirmed malicious runtime behavior and data theft, winword.exe execution, total_components_detected_malicious (3) confirming multiple malicious elements, domain_tech_stack_match_score (1.0), authentication failures - confirmed financial fraud attack"
D6137,Warning,0.82,"Document download with malicious attachments: document_download request type, 2 malicious_attachment_count providing infection vectors, very high max_behavioral_sandbox_score (0.724) indicating confirmed malicious runtime behavior, moderate exfiltration_behavior_score (0.275), winword.exe execution, embedded file (1), high content_spam_score (0.093), authentication failures - attachment-based malware delivery requiring investigation"
D6138,Spam,0.78,"Communication with spam characteristics: No explicit request type (none), high content_spam_score (0.233) indicating bulk nature, high sender_temp_email_likelihood (0.169), authentication failures (SPF fail, DKIM policy, DMARC fail), minimal behavioral threats but clear spam indicators"
D6139,Warning,0.76,"Sensitive data request with authentication concerns: sensitive_data_request type targeting confidential information, high sender_temp_email_likelihood (0.230) indicating disposable email usage, high sender_domain_reputation (0.249), domain_tech_stack_match_score (1.0), very high urgency_keywords_present (0.592), authentication failures but sensitive data targeting warrants monitoring"
D6140,Warning,0.84,"Meeting request with high behavioral activity: meeting_request type potentially used for social engineering, high max_metadata_suspicious_score (0.541) indicating file manipulation, very high exfiltration_behavior_score (0.991) showing extensive data access potential, winword.exe execution, embedded file (1), domain_tech_stack_match_score (1.0), very high smtp_ip_geo (0.884) - sophisticated meeting-based social engineering"
D6141,Warning,0.74,"Communication with behavioral concerns: No explicit request type (none), moderate max_behavioral_sandbox_score (0.128) and exfiltration_behavior_score (0.175), winword.exe execution, embedded file (1), high urgency_keywords_present (0.545), good authentication but behavioral indicators warrant monitoring"
D6142,Spam,0.77,"High spam content communication: No explicit request type (none), high content_spam_score (0.668) indicating bulk nature, high sender_domain_reputation (0.168), unsubscribe_link (1) typical of marketing emails, domain_tech_stack_match_score (1.0), good authentication but clear bulk spam characteristics"
D6143,Malicious,0.92,"Legal threat with ActiveX exploitation: legal_threat request type using intimidation tactics, any_active_x_objects_detected (1) providing deprecated but dangerous code execution vector, very high max_behavioral_sandbox_score (0.813) and exfiltration_behavior_score (0.786), outlook.exe execution, DMARC enforced (1) but compromised high-reputation infrastructure (0.433), high content_spam_score (0.090) - sophisticated legal threat fraud"
D6144,Warning,0.87,"Link click with extensive file manipulation: link_click request type directing users to external sites, very high max_metadata_suspicious_score (0.958) indicating extensive file manipulation, acrobat.exe execution, high content_spam_score (0.200), domain_tech_stack_match_score (1.0), link_rewritten_through_redirector (1), very high smtp_ip_geo (0.858) - sophisticated link-based attack requiring investigation"
D6145,Warning,0.74,"Bank detail update with infrastructure concerns: bank_detail_update request type commonly used in financial fraud, high smtp_ip_geo (0.475) risk score, 3 total_links_detected, minimal behavioral scores but financial nature combined with infrastructure concerns warrants monitoring"
D6146,Warning,0.83,"VPN/MFA reset with high disposable email usage: vpn_or_mfa_reset request type targeting security credentials, very high sender_temp_email_likelihood (0.969) indicating disposable email usage, high max_metadata_suspicious_score (0.597) and exfiltration_behavior_score (0.566), winword.exe and powershell.exe execution, high return_path_reputation_score (0.854), DMARC fail - credential harvesting attempt"
D6147,Warning,0.75,"Wire transfer with behavioral concerns: wire_transfer request type indicating financial fraud, moderate max_metadata_suspicious_score (0.145) and exfiltration_behavior_score (0.168), winword.exe execution, domain_tech_stack_match_score (0.5), minimal direct threats but financial request type requires monitoring"
D6148,Warning,0.79,"Document download with malicious attachment: document_download request type, malicious_attachment_count (1) providing infection vector, moderate behavioral scores, winword.exe execution, SSL certificate mismatch, domain_tech_stack_match_score (0.0), very high urgency_keywords_present (0.653) - attachment-based threat warrants investigation"
D6149,No Action,0.81,"Low-risk communication with infrastructure variations: No explicit request type (none), very high smtp_ip_geo (0.990) noted but minimal threat indicators across other categories, authentication failures (SPF fail, DKIM policy, DMARC fail) but overall benign behavioral profile suggests legitimate communication with routing issues"
D6150,Warning,0.79,"Sensitive data request with domain concerns: sensitive_data_request type targeting confidential information, domain_known_malicious (1) indicating malicious domain association, SSL certificate mismatch, very high urgency_keywords_present (0.926), authentication failures - data targeting with malicious infrastructure requires investigation"
D6151,Warning,0.81,"Meeting request with high behavioral activity: meeting_request type potentially used for social engineering, very high exfiltration_behavior_score (0.972) showing extensive data access potential, any_exploit_pattern_detected (1), winword.exe execution, high reply_path_reputation_score (0.683), SSL certificate mismatch - meeting-based social engineering"
D6152,Warning,0.76,"Communication with high disposable email patterns: No explicit request type (none), very high sender_temp_email_likelihood (0.603) indicating disposable email usage, high exfiltration_behavior_score (0.493), winword.exe execution, embedded files (2), expired SSL certificate, authentication failures - suspicious patterns requiring investigation"
D6153,No Action,0.82,"Low-risk communication despite high temp email likelihood: No explicit request type (none), very high sender_temp_email_likelihood (0.873) noted but minimal threat indicators across all other categories, good authentication (SPF pass), very low content_spam_score and behavioral scores - overall legitimate profile"
D6154,Warning,0.76,"Legal threat with moderate indicators: legal_threat request type using intimidation tactics, YARA rule match (1), moderate max_behavioral_sandbox_score (0.119) and exfiltration_behavior_score (0.396), outlook.exe execution, authentication failures (DMARC fail) - legal intimidation requiring investigation"
D6155,Warning,0.86,"Link click with high-reputation sender compromise: link_click request type directing users to external sites, very high sender_domain_reputation (0.988) suggesting compromised legitimate high-value infrastructure, DMARC enforced (1) but DMARC fail, moderate max_metadata_suspicious_score (0.170) and very high exfiltration_behavior_score (0.685), acrobat.exe execution - sophisticated attack using compromised infrastructure"
D6156,Malicious,0.89,"Bank detail fraud with confirmed threat actor: bank_detail_update request type commonly used in financial fraud, sender_known_malicious (1) confirming threat actor identification, very high urgency_keywords_present (0.734), self-signed SSL certificate, high content_spam_score (0.055) - confirmed malicious sender conducting financial fraud"
D6157,Warning,0.80,"VPN/MFA reset with macro content: vpn_or_mfa_reset request type targeting security credentials, any_macro_enabled_document (1) providing macro-based code execution, moderate exfiltration_behavior_score (0.479), winword.exe and powershell.exe execution, very high urgency_keywords_present (0.920), authentication failures - macro-enabled credential harvesting"
D6158,Malicious,0.92,"Wire transfer fraud with extensive evasion: wire_transfer request type indicating financial fraud, very high max_metadata_suspicious_score (0.960) indicating extensive file manipulation, very high max_behavioral_sandbox_score (0.547) showing confirmed malicious runtime behavior, winword.exe execution, return_path_known_malicious (1), domain_tech_stack_match_score (1.0), high content_spam_score (0.526), authentication failures - sophisticated financial fraud"
D6159,Warning,0.77,"Document download with behavioral concerns: document_download request type, moderate max_behavioral_sandbox_score (0.081) and exfiltration_behavior_score (0.071), winword.exe execution, embedded file (1), high smtp_ip_reputation_score (0.659), SSL certificate mismatch, high content_spam_score (0.069) - document-based attack requiring investigation"
D6160,Spam,0.80,"High spam content with SSL concerns: No explicit request type (none), high content_spam_score (0.465) indicating bulk nature, image_only_email (1) evading text-based detection, very high urgency_keywords_present (0.741), self-signed SSL certificate, authentication failures - image-based spam campaign"
