Data,sender_known_malicios,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_Count,dns_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,Analysis_of_the_qrcode_if_present,total_components_detected_malicious
D4933,0.8995099319000001,2.5482700000000003e-05,0,0.006214765,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.1568387189,0.9013341277,0.1292368093,0,0.0,0,0,0,0.0,"[""""]",0,0,0.9168076586,0.2276666104,0,0.029722546,0,0.0156409355,1.24323e-05,0.0003697929,0,3,0,0.5,0,1.32731e-05,0.8083020149,legal_threat,5e-10,0,0,0,0,0.0,0,pass,policy,none,1,TLS 1.2,0,1,1,0,0,0.0,valid,0.0038474561,0.0014567831,0,1,1,0
D4934,0.2195329329,3.8956e-06,0,0.6809866896,0,0,0,0.2847547429,0,0,0,0,0,0.0534480895,0.0277940232,0.4146502133,0.7566366818,0.2852292525,0,0.6791249266,0,0,4,7.355739835e-35,"[""""]",0,0,0.021552719,0.1515348401,0,0.6083384594,0,0.0053377151,0.000893826,0.6906310582,0,0,0,0.5,0,0.2451686991,0.2938811194,none,2.6653e-06,0,0,0,0,0.0,0,pass,temperror,temperror,1,TLS 1.3,0,0,0,0,0,7.33389e-05,valid,0.3814817119,0.0007198992,0,1,0,4
D4935,0.8004647088,0.00545526,0,0.0020997411,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.4078043551,0.2267772783,0.2187057365,0,0.0,0,0,0,0.0,"[""""]",0,0,3.622e-07,0.2971714807,0,5.6082e-06,0,0.0056222786,2.54241e-05,0.0105252693,0,0,0,1.0,0,9.6108e-06,0.1285920925,none,0.0792530393,0,0,0,0,0.0,0,fail,fail,fail,1,TLS 1.0,0,0,0,0,0,0.2055453305,valid,0.1179651727,0.6995035737,0,1,0,0
D4936,0.421779113,0.0021934671,0,1.3537e-06,1,0,0,0.0,0,0,0,0,0,0.0,0.0,0.9438645847,0.8355437261,0.5639626139,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0044930107,0.3135735843,0,0.0004139009,0,0.0,0.0210656375,0.2929430672,0,0,0,0.0,0,0.1589530024,0.4481344561,invoice_verification,0.0042674841,0,0,0,0,0.0,0,pass,none,fail,1,TLS 1.2,0,0,0,0,0,0.0135088659,self signed,0.0001031496,2.9461e-06,0,1,0,0
D4937,0.3310958244,0.0428140746,0,1.1878e-06,0,0,0,0.2490293465,0,0,0,0,0,4.05985e-05,0.1157375888,0.4007882464,0.8469300566,0.7029559424,0,0.874309879,0,0,4,8e-10,"[""""]",0,1,0.0050219593,0.9377743122,0,0.001739659,0,0.1272771133,1.6690000000000005e-07,1.3662000000000002e-06,0,0,0,1.0,0,7.21802e-05,0.920711004,none,0.1717223289,0,0,1,0,0.0,0,softfail,fail,pass,1,TLS 1.2,1,0,0,0,0,1.8781306310000002e-17,valid,5.84675e-05,0.0018726313,0,1,0,4
D4938,0.8426597787000001,7.253446726e-19,0,1.7479e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.1026832496,0.2241811333,0.6032971979,0,0.0,0,0,0,0.0,"[""""]",0,0,1.2e-09,0.8003437944,0,1.482846001e-18,0,0.1184364077,2.7946e-06,6.18e-08,0,0,0,1.0,0,0.002440044,0.890995293,none,0.0169971555,0,0,0,0,0.0,0,pass,fail,fail,1,TLS 1.3,4,0,0,0,0,4.1865000000000005e-06,mismatch,1.2272e-06,0.4070723535,0,1,0,0
D4939,0.0941376347,0.0049839558,0,0.2813115061,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.9539562817,0.0449986408,0.58701001,0,0.0,0,0,0,0.0,"[""""]",0,0,0.4187633701,0.2684154244,0,0.0023039255,0,0.0551786778,0.1772722084,0.0583391008,0,0,0,1.0,0,0.0,0.1299543472,none,1.6e-09,0,0,0,0,0.0,0,pass,policy,pass,1,SSL,1,0,0,0,0,0.0117385722,valid,0.0,0.0096063502,0,1,0,0
D4940,0.6329608507000001,0.0,0,1.3900000000000001e-07,1,0,0,0.0207980063,0,0,0,3,0,3.08571e-05,0.1202104401,0.7245746240000001,0.4353430253,0.5374823545,0,0.4673516435,0,0,4,0.0,"[""""]",0,0,0.2760054372,0.5294045364000001,0,5.520000000000001e-08,0,0.3761559872,0.7163100397000001,0.0073149671,0,0,0,1.0,0,0.0105279357,0.6567120257,meeting_request,0.179795762,0,0,0,0,0.0,0,fail,neutral,temperror,1,TLS 1.2,0,0,0,0,0,0.4307595547,valid,0.3917167059,9.103460062e-21,0,1,0,1
D4941,0.4357386956,0.4510930399,0,4e-10,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.5900138201,0.3166792087,0.2676775595,0,0.0,0,0,0,0.0,"[""""]",0,0,5.33e-07,0.6144576706,0,9.7358e-06,0,1.3365e-06,0.0036269721,0.0002070148,0,0,0,1.0,0,0.1070675162,0.2438966646,sensitive_data_request,2.74346e-05,0,0,0,0,0.0,0,fail,policy,none,1,TLS 1.1,4,0,0,0,0,0.0001800686,expired,0.1151769602,7.35e-08,0,1,0,0
D4942,0.397185807,0.2511192625,0,0.0492838647,0,0,0,0.1451120554,7,0,0,0,0,0.773812433,4.0770000000000003e-07,0.0630262545,0.2389213729,0.1404754157,0,0.947463211,0,0,4,1.5020496659999999e-31,"[""""]",0,0,0.4176225159,0.020278038,0,0.0011324443,0,0.0033680528,0.0015404555,0.2682573536,0,0,0,0.5,0,0.0096593253,0.6465098237,none,0.0046389356,0,0,1,0,0.0,0,pass,temperror,none,1,TLS 1.3,0,0,0,0,0,2.5222e-06,self signed,0.0,0.0033155495,0,1,0,0
D4943,0.6291119276,6.514e-07,0,1.9687e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.2692259487,0.2466462986,0.3196164033,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0212325204,0.0753237439,0,1.4e-09,0,0.0257150392,1.566e-07,0.0012278709,0,0,0,0.0,0,0.0,0.3841829473,none,0.0368464298,0,0,0,0,0.0,0,fail,neutral,pass,1,TLS 1.3,0,0,0,0,0,2.9e-09,valid,1.191e-07,9.7212e-05,0,1,0,0
D4944,0.6736178683,0.5539757844000001,0,0.0119699457,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.5494160772000001,0.6808273657,0.1346009767,0,0.0,0,0,0,0.0,"[""""]",1,0,1.19376e-05,0.5389546026,0,1.53038e-05,0,1.7641000000000003e-05,0.3382827498,0.8933767845,0,0,0,1.0,0,3.037e-07,0.8635997394,link_click,1e-10,0,0,0,0,0.0,0,fail,none,none,1,TLS 1.0,3,0,0,0,0,0.0335665925,valid,4.7315e-06,0.2265954397,0,1,0,0
D4945,0.4463672342,0.1846935382,0,0.0001072584,0,0,0,2.01e-08,0,0,0,1,0,0.0,0.0524348068,0.5585856478,0.9445282058,0.6473868472000001,0,0.2396378727,0,0,4,5.766576361e-49,"[""""]",0,0,0.0,0.3790464573,0,0.0048071144,0,0.000123508,0.0620919707,0.1049302251,0,0,0,1.0,0,0.0789536202,0.8862564519,none,0.0,0,0,0,0,0.0,0,pass,none,none,1,TLS 1.3,3,0,0,0,0,4.474000000000001e-06,valid,1.2688e-06,0.1578980034,0,1,0,0
D4946,0.7060592511,0.0052853788,0,9.43e-08,0,0,0,0.4790590365,0,0,0,0,0,0.3773813037,0.0045197918,0.340095781,0.7059889893,0.8209642476,0,0.8629166046000001,0,0,4,1.150212641e-32,"[""""]",0,0,0.0168891192,0.4269376902,0,1e-09,0,0.6704667721,4.0696e-06,0.2150017945,0,0,0,0.5,0,7.1995e-06,0.1873178686,invoice_payment,0.0524942792,0,0,0,0,0.0,0,pass,pass,none,1,TLS 1.2,4,0,0,0,0,0.0910340218,valid,7.67045e-05,0.8007965961,0,1,0,4
