Data,Classification,Confidence_Score,Detailed_Justification
D5983,Malicious,0.92,"High-confidence malicious attack: packer_detected (1) indicating obfuscated malware, very high max_behavioral_sandbox_score (0.971) showing confirmed malicious runtime behavior, high max_metadata_suspicious_score (0.436), acrobat.exe execution, domain_tech_stack_match_score (1.0) for perfect spoofing, link_rewritten_through_redirector (1), authentication failures - clear sophisticated malware delivery"
D5984,Spam,0.79,"Bulk email with spam characteristics: high sender_temp_email_likelihood (0.512) indicating disposable email usage, return_path_mismatch_with_from (1), very high reply_path_reputation_score (0.788) and smtp_ip_reputation_score (0.622) suggesting bulk infrastructure, domain_tech_stack_match_score (0.0) contradicting spoofing, moderate content_spam_score (0.008) but bulk infrastructure patterns indicate spam campaign"
D5985,Warning,0.78,"Targeted social engineering attempt: urgent_callback request type, high sender_domain_reputation (0.554) suggesting compromised legitimate infrastructure, return_path_mismatch_with_from (1), is_high_risk_role_targeted (1) indicating VIP targeting, domain_tech_stack_match_score (1.0), SSL certificate mismatch, link_rewritten_through_redirector (1) - sophisticated targeted attack requiring investigation"
D5986,Spam,0.81,"High-volume marketing email: very high sender_domain_reputation (0.888) but massive content_spam_score (0.942) indicating bulk marketing content, very high urgency_keywords_present (0.851) for promotional pressure, domain_tech_stack_match_score (1.0), 4 total_links_detected with very low url_reputation_score (3.9e-05) - legitimate sender doing bulk marketing"
D5987,Warning,0.76,"Script-based threat requiring investigation: any_vbscript_javascript_detected (1), moderate max_behavioral_sandbox_score (0.268) and exfiltration_behavior_score (0.098), high max_metadata_suspicious_score (0.227), winword.exe and powershell.exe execution, very high urgency_keywords_present (0.886) - potential script-based attack"
D5988,No Action,0.84,"Legitimate business communication: minimal threat indicators, good SPF pass and DKIM neutral authentication, moderate sender_domain_reputation (0.146) and sender_temp_email_likelihood (0.448) within normal ranges, domain_tech_stack_match_score (1.0) but no supporting threat indicators, very high urgency_keywords_present (0.753) likely business urgency"
D5989,No Action,0.85,"Standard business email: minimal threat indicators across all 68 signals, good SPF pass authentication, moderate reputation scores within legitimate ranges, very low content_spam_score (3.7e-04), domain_tech_stack_match_score (0.5) showing partial legitimacy, all behavioral and malicious indicators at zero"
D5990,Spam,0.80,"Gift card spam campaign: gift_card_request type commonly used in spam, high sender_temp_email_likelihood (0.536), high return_path_reputation_score (0.576), urgency_keywords_present (0.511), moderate content_spam_score (0.050), domain_tech_stack_match_score (0.5), DMARC fail - bulk social engineering spam"
D5991,Spam,0.82,"Financial spam with bulk characteristics: bank_detail_update request type, high urgency_keywords_present (0.407), high smtp_ip_geo (0.484) suggesting bulk infrastructure, domain_tech_stack_match_score (1.0), self-signed SSL certificate, unsubscribe_link (1) indicating bulk email, DMARC temperror - spam masquerading as financial communication"
D5992,No Action,0.82,"Legitimate communication with routing variations: minimal threat indicators, return_path_mismatch_with_from (1) for routing, moderate reply_path_reputation_score (0.431), very high urgency_keywords_present (0.815) likely business urgency, good authentication (SPF softfail, DKIM pass), high url_reputation_score (0.429) but no supporting threat indicators"
D5993,Malicious,0.94,"Known threat actor with multi-vector attack: sender_known_malicious (1), 4 malicious_attachment_count, moderate max_behavioral_sandbox_score (0.312), very high exfiltration_behavior_score (0.682), acrobat.exe execution, embedded file (1), very high urgency_keywords_present (0.916), high content_spam_score (0.354) - confirmed malicious campaign"
D5994,Warning,0.74,"Suspicious system-level activity: moderate max_behavioral_sandbox_score (0.166) and exfiltration_behavior_score (0.369), acrobat.exe, cmd.exe, curl.exe, rundll32.exe execution showing system-level activity, SSL certificate mismatch, domain_tech_stack_match_score (0.5) - requires investigation for potential compromise"
D5995,Warning,0.73,"User-flagged suspicious communication: user_marked_as_spam_before (1), final_url_known_malicious (1), winword.exe and powershell.exe execution, authentication failures (SPF softfail, DKIM policy, DMARC fail) - user concerns validated by malicious URL"
D5996,Malicious,0.91,"Sophisticated wire transfer fraud: wire_transfer request type, high sender_temp_email_likelihood (0.817), moderate max_behavioral_sandbox_score (0.391) and exfiltration_behavior_score (0.516), winword.exe, powershell.exe, regsvr32.exe execution, very long max_sandbox_execution_time (249.58 seconds) indicating evasion, html_text_ratio (1.0), self-signed SSL certificate, high site_visual_similarity_to_known_brand (0.601)"
D5997,Spam,0.77,"Invoice-themed spam with redirects: invoice_verification request type used in spam, moderate sender_temp_email_likelihood (0.289), url_redirect_chain_length (1), moderate site_visual_similarity_to_known_brand (0.084), high url_rendering_behavior_score (0.755), domain_tech_stack_match_score (0.5) - bulk invoice spam campaign"
D5998,Malicious,0.89,"Wire transfer fraud with script execution: wire_transfer request type, any_vbscript_javascript_detected (1) for code execution, moderate exfiltration_behavior_score (0.161), winword.exe and powershell.exe execution, 4 embedded files, high content_spam_score (0.520), very high urgency_keywords_present (0.454) - malicious financial fraud"
D5999,Malicious,0.90,"Invoice payment fraud with scripts: invoice_payment request type, any_vbscript_javascript_detected (1), high max_metadata_suspicious_score (0.162), very high exfiltration_behavior_score (0.721), winword.exe, powershell.exe, regsvr32.exe execution, very high urgency_keywords_present (0.850), authentication failures - sophisticated payment fraud"
D6000,Malicious,0.92,"Social engineering with malicious infrastructure: urgent_callback request type, domain_known_malicious (1), moderate exfiltration_behavior_score (0.612), outlook.exe, winword.exe, mshta.exe, wscript.exe execution, high urgency_keywords_present (0.233), revoked SSL certificate, domain_tech_stack_match_score (1.0), high site_visual_similarity_to_known_brand (0.468)"
D6001,Malicious,0.94,"High-value infrastructure compromise for credential theft: vpn_or_mfa_reset request type, very high sender_domain_reputation (0.996) indicating compromised legitimate high-value infrastructure, moderate max_amsi_suspicion_score (0.094), very high exfiltration_behavior_score (0.699), winword.exe and powershell.exe execution, 4 embedded files, very high url_reputation_score (0.977), expired SSL certificate"
D6002,No Action,0.83,"Low-risk legitimate communication: minimal threat indicators across 68 signals, very high reply_path_reputation_score (0.581) within normal range, 1 total_links_detected with low url_reputation_score (0.002), self-signed SSL certificate noted but no supporting threat indicators, high url_rendering_behavior_score (0.668) but overall benign profile"
D6003,Warning,0.78,"Executable attachment with suspicious patterns: has_executable_attachment (1), 4 YARA rule matches, moderate exfiltration_behavior_score (0.761), outlook.exe, winword.exe, mshta.exe, wscript.exe execution, 4 embedded files, high sender_temp_email_likelihood (0.271), self-signed SSL certificate, total_components_detected_malicious (1) - requires investigation"
D6004,Warning,0.75,"High behavioral activity requiring analysis: very high max_behavioral_sandbox_score (0.640), moderate max_amsi_suspicion_score (0.023) and exfiltration_behavior_score (0.271), outlook.exe, winword.exe, mshta.exe, wscript.exe execution, moderate sender_temp_email_likelihood (0.262), authentication failures - suspicious runtime behavior"
D6005,Warning,0.79,"Legal threat with spoofing indicators: legal_threat request type, DMARC enforced (1) providing baseline security, high urgency_keywords_present (0.408), domain_tech_stack_match_score (1.0), high content_spam_score (0.107), self-signed SSL certificate, moderate site_visual_similarity_to_known_brand (0.226), authentication failures"
D6006,Spam,0.81,"Document spam with bulk characteristics: document_download request type in spam context, very high return_path_reputation_score (0.767) suggesting bulk infrastructure, high smtp_ip_geo (0.181) risk, domain_tech_stack_match_score (1.0), high content_spam_score (0.202), very high urgency_keywords_present (0.727), authentication failures - bulk document spam"
